cell,Donor,Region,MajorType
HBA_200622_H1930001_A46_1_P5-2-P5-B15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-B3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-C15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-C4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-E16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-E3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-G16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-H16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-I16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-I4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-K15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-K16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-L4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-N3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-O16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-O4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-2-P5-P4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-B1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-C13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-D13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-D14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-E13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-E14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-F13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-F2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-G14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-G2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-J13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-K13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-L14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-M1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-M13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-M2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-N1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-N2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-O1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-1-O19-P14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-A17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-B5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-C6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-D18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-D5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-E17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-E18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-F5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-J17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-K17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-M18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-M5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-N17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-3-F22-O6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-A8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-B19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-D19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-D7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-D8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-E19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-E20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-E8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-G19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-J7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-K20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-L19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-L20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-L7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-M19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-M20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-N7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-O19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-4-B20-O7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-A14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-B1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-B13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-B2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-D1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-D2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-F13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-G13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-H2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-I13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-J1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-K13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-K14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-M13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P2-1-F3-N2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-A4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-C15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-D16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-F4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-H16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-K16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-M3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-P16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-2-N5-P3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-3-G5-A18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-3-G5-B6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-3-G5-G5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-3-G5-J18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-3-G5-N5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-3-G5-O18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-B13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-B2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-C14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-C2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-D13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-D14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-E14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-F1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-F2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-H1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-K14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-M1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-M2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-N1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-N13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-N2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-P1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P6-1-K6-P14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-B19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-B8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-C19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-C8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-D19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-E20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-E8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-F20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-F7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-G20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-H19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-H20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-I20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-J19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-J8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-K20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-K7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-L19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-L7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-M7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-M8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-O19,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-P20,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-P7,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-4-G16-P8,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-A13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-A14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-B13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-B14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-C1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-C2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-D1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-F2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-G14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-H14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P7-1-C1-J1,h1930001,A46,L2/3 IT
